x,y
20.0,160.0
20.0,240.0
20.0,320.0
20.0,400.0
20.0,480.0
20.0,560.0
20.0,640.0
20.0,720.0
20.0,800.0
40.0,60.0
40.0,100.0
40.0,140.0
40.0,180.0
40.0,220.0
40.0,260.0
40.0,300.0
40.0,340.0
40.0,380.0
40.0,420.0
40.0,460.0
40.0,500.0
40.0,540.0
40.0,580.0
40.0,620.0
40.0,660.0
40.0,700.0
40.0,740.0
40.0,780.0
60.0,200.0
60.0,280.0
60.0,360.0
60.0,440.0
60.0,520.0
60.0,600.0
60.0,680.0
60.0,800.0
80.0,60.0
80.0,100.0
80.0,140.0
80.0,180.0
80.0,220.0
80.0,260.0
80.0,300.0
80.0,340.0
80.0,380.0
80.0,420.0
80.0,460.0
80.0,500.0
80.0,540.0
80.0,580.0
80.0,620.0
80.0,660.0
80.0,700.0
80.0,740.0
80.0,780.0
100.0,160.0
100.0,240.0
100.0,320.0
100.0,400.0
100.0,480.0
100.0,560.0
100.0,640.0
100.0,720.0
100.0,800.0
120.0,60.0
120.0,100.0
120.0,140.0
120.0,180.0
120.0,220.0
120.0,260.0
120.0,300.0
120.0,340.0
120.0,380.0
120.0,420.0
120.0,460.0
120.0,500.0
120.0,540.0
120.0,580.0
120.0,620.0
120.0,660.0
120.0,700.0
120.0,740.0
120.0,780.0
140.0,200.0
140.0,280.0
140.0,360.0
140.0,440.0
140.0,520.0
140.0,600.0
140.0,680.0
140.0,800.0
160.0,60.0
160.0,100.0
160.0,140.0
160.0,180.0
160.0,220.0
160.0,260.0
160.0,300.0
160.0,340.0
160.0,380.0
160.0,420.0
160.0,460.0
160.0,500.0
160.0,540.0
160.0,580.0
160.0,620.0
160.0,660.0
160.0,700.0
160.0,740.0
160.0,780.0
180.0,160.0
180.0,240.0
180.0,320.0
180.0,400.0
180.0,480.0
180.0,560.0
180.0,640.0
180.0,720.0
180.0,800.0
200.0,60.0
200.0,100.0
200.0,140.0
200.0,180.0
200.0,220.0
200.0,260.0
200.0,300.0
200.0,340.0
200.0,380.0
200.0,420.0
200.0,460.0
200.0,500.0
200.0,540.0
200.0,580.0
200.0,620.0
200.0,660.0
200.0,700.0
200.0,740.0
200.0,780.0
220.0,200.0
220.0,280.0
220.0,360.0
220.0,440.0
220.0,520.0
220.0,600.0
220.0,680.0
220.0,800.0
240.0,60.0
240.0,100.0
240.0,140.0
240.0,180.0
240.0,220.0
240.0,260.0
240.0,300.0
240.0,340.0
240.0,380.0
240.0,420.0
240.0,460.0
240.0,500.0
240.0,540.0
240.0,580.0
240.0,620.0
240.0,660.0
240.0,700.0
240.0,740.0
240.0,780.0
260.0,160.0
260.0,240.0
260.0,320.0
260.0,400.0
260.0,480.0
260.0,560.0
260.0,640.0
260.0,720.0
260.0,800.0
280.0,60.0
280.0,100.0
280.0,140.0
280.0,180.0
280.0,220.0
280.0,260.0
280.0,300.0
280.0,340.0
280.0,380.0
280.0,420.0
280.0,460.0
280.0,500.0
280.0,540.0
280.0,580.0
280.0,620.0
280.0,660.0
280.0,700.0
280.0,740.0
280.0,780.0
300.0,200.0
300.0,280.0
300.0,360.0
300.0,440.0
300.0,520.0
300.0,600.0
300.0,680.0
300.0,800.0
320.0,60.0
320.0,100.0
320.0,140.0
320.0,180.0
320.0,220.0
320.0,260.0
320.0,300.0
320.0,340.0
320.0,380.0
320.0,420.0
320.0,460.0
320.0,500.0
320.0,540.0
320.0,580.0
320.0,620.0
320.0,660.0
320.0,700.0
320.0,740.0
320.0,780.0
340.0,160.0
340.0,240.0
340.0,320.0
340.0,400.0
340.0,480.0
340.0,560.0
340.0,640.0
340.0,720.0
340.0,800.0
360.0,60.0
360.0,100.0
360.0,140.0
360.0,180.0
360.0,220.0
360.0,260.0
360.0,300.0
360.0,340.0
360.0,380.0
360.0,420.0
360.0,460.0
360.0,500.0
360.0,540.0
360.0,580.0
360.0,620.0
360.0,660.0
360.0,700.0
360.0,740.0
360.0,780.0
380.0,200.0
380.0,280.0
380.0,360.0
380.0,440.0
380.0,520.0
380.0,600.0
380.0,680.0
380.0,800.0
400.0,60.0
400.0,100.0
400.0,140.0
400.0,180.0
400.0,220.0
400.0,260.0
400.0,300.0
400.0,340.0
400.0,380.0
400.0,420.0
400.0,460.0
400.0,500.0
400.0,540.0
